freq,variable,standard_name,long_name,units,cell_methods,
1hr,ta200m,air_temperature,Air Temperature at 200m,K,model_level_number: point area: interpolation (method: bilinear) height: interpolation(method: log) time: point (interval: 1H),
1hr,va250m,northward_wind,Northward Wind at 250m,m s-1,model_level_number: point area: interpolation (method: bilinear) height: interpolation(method: log) time: point (interval: 1H),
1hr,clivi,atmosphere_mass_content_of_cloud_ice,Ice Water Path,kg m-2,time: point (interval: 1H),
1hr,va150m,northward_wind,Northward Wind at 150m,m s-1,model_level_number: point area: interpolation (method: bilinear) height: interpolation(method: log) time: point (interval: 1H),
1hr,clt,cloud_area_fraction,Total Cloud Cover Percentage,%,time: mean (interval: 1 hour),
1hr,ua50m,eastward_wind,Eastward Wind at 50m,m s-1,model_level_number: point area: interpolation (method: bilinear) height: interpolation(method: log) time: point (interval: 1H),
1hr,clm,cloud_area_fraction_in_atmosphere_layer,Mid Level Cloud Fraction,%,time: mean (interval: 1 hour),
1hr,rlutcs,toa_outgoing_longwave_flux_assuming_clear_sky,TOA Outgoing Clear-Sky Longwave Radiation,W m-2,time: mean (interval: 1 hour),
1hr,prsn,snowfall_flux,Snowfall Flux,kg m-2 s-1,time: mean (interval: 1 hour),
1hr,ta250m,air_temperature,Air Temperature at 250m,K,model_level_number: point area: interpolation (method: bilinear) height: interpolation(method: log) time: point (interval: 1H),
1hr,CIN,atmosphere_convective_inhibition_wrt_surface,Convective Inhibition,J kg-1,time: point (interval: 1H),
1hr,ta50m,air_temperature,Air Temperature at 50m,K,model_level_number: point area: interpolation (method: bilinear) height: interpolation(method: linear) time: point (interval: 1H),
1hr,ua100m,eastward_wind,Eastward Wind at 100m,m s-1,model_level_number: point area: interpolation (method: bilinear) height: interpolation(method: log) time: point (interval: 1H),
1hr,mrsos,mass_content_of_water_in_soil_layer\n,Moisture in Upper Portion of Soil Column,kg m-2,time: point (interval: 1H),
6hr,mrfsol,frozen_water_content_of_soil_layer,Frozen Water Content of Soil Layer,kg m-2,time: point (interval: 6H),
6hr,ta925,air_temperature,Air Temperature,K,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear),
6hr,ta1000,air_temperature,Air Temperature,K,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear),
6hr,ua400,eastward_wind,Eastward Wind,m s-1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear),
6hr,zg850,geopotential_height,Geopotential Height,m,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear),
6hr,hus850,specific_humidity,Specific Humidity,1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear),
6hr,va200,northward_wind,Northward Wind,m s-1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear),
6hr,ta10,air_temperature,Air Temperature,K,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear),
6hr,wa70,upward_air_velocity,Upward Air Velocity,m s-1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear),
6hr,ta600,air_temperature,Air Temperature,K,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear),
6hr,va70,northward_wind,Northward Wind,m s-1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear),
6hr,hus200,specific_humidity,Specific Humidity,1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear),
6hr,hus300,specific_humidity,Specific Humidity,1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear),
6hr,ua100,eastward_wind,Eastward Wind,m s-1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear),
6hr,ta950,air_temperature,Air Temperature,K,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear),
6hr,ua200,eastward_wind,Eastward Wind,m s-1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear),
6hr,wa1000,upward_air_velocity,Upward Air Velocity,m s-1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear),
6hr,sic,sea_ice_area_fraction,Sea Ice Area Fraction,%,time: point (interval: 6H),
6hr,ta20,air_temperature,Air Temperature,K,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear),
6hr,zg1000,geopotential_height,Geopotential Height,m,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear),
6hr,zg925,geopotential_height,Geopotential Height,m,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear),
6hr,hus50,specific_humidity,Specific Humidity,1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear),
6hr,hus150,specific_humidity,Specific Humidity,1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear),
6hr,hus600,specific_humidity,Specific Humidity,1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear),
6hr,va700,northward_wind,Northward Wind,m s-1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear),
6hr,hus1000,specific_humidity,Specific Humidity,1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear),
6hr,ta200,air_temperature,Air Temperature,K,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear),
